Title,Length,Year
Love Me Do,139,1962
P. S. I Love You,121,1962
Please Please Me,117,1962
Ask Me Why,144,1962
There's A Place,108,1963
I Saw Her Standing There,171,1963
A Taste of Honey,120,1963
Do You Want To Know A Secret,115,1963
Misery,105,1963
Hold Me Tight,150,1963
Anna (Go To Him)',173,1963
Boys,143,1963
Chains,143,1963
Baby It's You,155,1963
Twist And Shout,152,1963
From Me To You,116,1963
Thank You Girl,123,1963
She Loves You,141,1963
I'll Get You,126,1963
You Really Got A Hold On Me,180,1963
Money (That's What I Want),167,1963
Devil In Her Heart,145,1963
Till There Was You,132,1963
Please Mr. Postman,151,1963
It Won't Be Long,131,1963
Roll Over Beethoven,163,1963
All My Loving,126,1963
I Wanna Be Your Man,118,1963
Little Child,104,1963
All I've Got To Do,120,1963
Not A Second Time,124,1963
Don't Bother Me,146,1963
I Want To Hold Your Hand,145,1963
This Boy,135,1963
Can't Buy Me Love,131,1964
You Can't Do That,153,1964
And I Love Her,148,1964
I Should Have Known Better,161,1964
Tell Me Why,128,1964
If I Fell,138,1964
I'm Happy Just To Dance With You,116,1964
Long Tall Sally,122,1964
I Call Your Name,128,1964
A Hard Day's Night,153,1964
Matchbox,118,1964
I'll Cry Instead,105,1964
Slow Down,176,1964
I'll Be Back,141,1964
Any Time At All,129,1964
Things We Said Today,154,1964
When I Get Home,135,1964
Baby's In Black,124,1964
I'm A Loser,148,1964
Mr. Moonlight,159,1964
Every Little Thing,123,1964
I Don't Want To Spoil The Party,153,1964
What You're Doing,150,1964
No Reply,135,1964
Eight Days A Week,162,1964
She's A Woman,182,1964
Kansas City/Hey Hey Hey Hey,157,1964
I Feel Fine,138,1964
I'll Follow The Sun,107,1964
Everybody's Trying To Be My Baby,145,1964
Rock And Roll Music,148,1964
Words Of Love,123,1964
Honey Don't,177,1964
Ticket To Ride,190,1965
Another Girl,125,1965
I Need You,149,1965
Yes It Is,162,1965
The Night Before,156,1965
You Like Me Too Much,155,1965
You've Got To Hide Your Love Away,129,1965
Tell Me What You See,158,1965
You're Going To Lose That Girl,140,1965
Help!,140,1965
Dizzy Miss Lizzy,177,1965
Bad Boy,140,1965
I've Just Seen A Face,125,1965
I'm Down,152,1965
Yesterday,126,1965
It's Only Love,117,1965
Act Naturally,150,1965
Wait,133,1965
Run For Your Life,138,1965
Norwegian Wood (This Bird Has Flown),125,1965
Drive My Car,148,1965
Day Tripper,166,1965
If I Needed Someone,142,1965
In My Life,145,1965
We Can Work It Out,135,1965
Nowhere Man,162,1965
I'm Looking Through You,146,1965
Michelle,162,1965
What Goes On,168,1965
Think For Yourself,138,1965
The Word,162,1965
You Won't See Me,198,1965
Girl,150,1965
Tomorrow Never Knows,179,1966
Got To Get You Into My Life,148,1966
Love You To,180,1966
Paperback Writer,136,1966
Rain,180,1966
Doctor Robert,134,1966
And Your Bird Can Sing,120,1966
Taxman,158,1966
I'm Only Sleeping,179,1966
Eleanor Rigby,125,1966
For No One,119,1966
Yellow Submarine,158,1966
I Want To Tell You,147,1966
Good Day Sunshine,128,1966
Here There And Everywhere,144,1966
She Said She Said,156,1966
Strawberry Fields Forever,247,1966
When I'm Sixty-Four,157,1966
Penny Lane,180,1967
A Day In The Life,337,1967
Sgt. Pepper's Lonely Hearts Club Band,125,1967
Good Morning Good Morning,161,1967
Fixing A Hole,156,1967
Only A Northern Song,203,1967
Being For The Benefit Of Mr. Kite,157,1967
Lovely Rita,162,1967
Lucy In The Sky With Diamonds,208,1967
Getting Better,168,1967
Within You Without You,304,1967
She's Leaving Home,219,1967
With A Little Help From My Friends,164,1967
Sgt. Pepper's Lonely Hearts Club Band (Reprise),79,1967
Magical Mystery Tour,170,1967
Baby You're A Rich Man,181,1967
All Together Now,131,1967
You Know My Name (Look Up The Number),259,1967
It's All Too Much,384,1967
All You Need Is Love,231,1967
Your Mother Should Know,148,1967
I Am The Walrus,275,1967
Blue Jay Way,235,1967
Flying,135,1967
The Fool On The Hill,179,1967
Hello Goodbye,209,1967
The Inner Light,156,1968
Lady Madonna,137,1968
Across The Universe,228,1968
Hey Bulldog,190,1968
Revolution 1,255,1968
Don't Pass Me By,229,1968
Revolution 9,501,1968
Blackbird,138,1968
Everybody's Got Something To Hide Except For Me And My Monkey,144,1968
Good Night,193,1968
Ob-La-Di Ob-La-Da,188,1968
Revolution,207,1968
Cry Baby Cry,181,1968
Helter Skelter,269,1968
Sexy Sadie,194,1968
While My Guitar Gently Weeps,284,1968
Hey Jude,428,1968
Mother Nature's Son,167,1968
Yer Blues,239,1968
Rocky Raccoon,212,1968
Wild Honey Pie,52,1968
Back In The USSR,163,1968
Dear Prudence,235,1968
Glass Onion,137,1968
I Will,105,1968
Birthday,162,1968
Piggies,123,1968
Happiness Is A Warm Gun,164,1968
Honey Pie,160,1968
Savoy Truffle,174,1968
Martha My Dear,148,1968
Long Long Long,185,1968
I'm So Tired,123,1968
The Continuing Story of Bungalow Bill,193,1968
Why Don't We Do It In The Road,100,1968
Julia,176,1968
Dig A Pony,235,1969
I've Got A Feeling,218,1969
Don't Let Me Down,215,1969
Get Back,189,1969
Two Of Us,216,1969
Maggie Mae,40,1969
Dig It,50,1969
For You Blue,152,1969
Let It Be,243,1969
The Long And Winding Road,218,1969
The One After 909,174,1969
I Want You (She's So Heavy),646,1969
The Ballad of John And Yoko,179,1969
Old Brown Shoe,198,1969
Something,182,1969
Oh! Darling,207,1969
Octopus's Garden,170,1969
You Never Give Me Your Money,243,1969
Her Majesty,26,1969
Golden Slumbers,91,1969
Carry That Weight,96,1969
Here Comes The Sun,185,1969
Maxwell's Silver Hammer,207,1969
Come Together,260,1969
The End,124,1969
Sun King,146,1969
Mean Mr. Mustard,66,1969
Polythene Pam,72,1969
She Came In Through The Bathroom Window,118,1969
Because,165,1969
I Me Mine,146,1970
