pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,pos2_person_id,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pos1_person_id,pos2_person_id_1,pos3_person_id,pos4_person_id,pos5_person_id,pos6_person_id,pos7_person_id,pos8_person_id,pos9_person_id,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,barrel
FF,2017-04-08,96.3,-1.1483,6.3853,Jett Bandy,542908,518748,home_run,hit_into_play_score,NA,NA,NA,NA,5,Jett Bandy homers (1) on a fly ball to center field.   Keon Broxton scores.,R,R,R,MIL,CHC,X,NA,fly_ball,1,0,2017,-0.3591,1.4694,0.2494,2.5854,NA,NA,542979,0,9,Bot,138.33,20.89,NA,NA,575929,NA,170409_023239,4.5786,-139.9109,-7.9854,-5.7899,29.4382,-10.9224,3.53,1.63,421,100.6,25.423,97.441,2181,6.862,490165,518748,575929,519203,595879,592178,608365,656941,546991,450314,53.6365,0.79,1.361,2,1,0,3,6,83,2,4-Seam Fastball,4,11,4,11,11,4,4,11,Standard,Standard,1
FF,2017-04-08,90.8,-1.0645,5.2853,Cameron Rupp,519237,518875,home_run,hit_into_play_score,NA,NA,NA,NA,5,Cameron Rupp homers (1) on a fly ball to center field.,R,R,R,PHI,WSH,X,NA,fly_ball,2,2,2017,0.4408,1.1676,-0.1008,2.9495,NA,NA,NA,2,8,Bot,199.29,52.68,NA,NA,446308,NA,170409_020602,1.467,-132.4476,-2.6035,5.0606,27.3065,-17.597,3.786,1.565,385,107.2,34.94,92.725,2212,7.225,490177,518875,446308,452252,502517,543685,594694,502317,594809,547180,53.2737,0.813,1.672,2,1,0,3,6,75,5,4-Seam Fastball,16,3,16,3,3,16,16,3,Standard,Standard,1
CU,2017-04-08,80.4,-1.6515,5.4476,Eugenio Suarez,553993,592815,home_run,hit_into_play_score,NA,NA,NA,NA,8,Eugenio Suarez homers (1) on a fly ball to center field.,R,R,R,STL,CIN,X,NA,fly_ball,2,2,2017,1.1826,-0.5457,-0.2533,1.4949,NA,NA,NA,2,9,Top,84.46,27.52,NA,NA,518700,NA,170408_210035,0.9262,-116.8281,-1.0761,10.3481,21.7334,-37.0838,3.786,1.565,416,102.9,27.398,79.3,2307,5.485,490166,592815,518700,576397,543939,594824,649557,545341,451594,500874,54.9368,0.897,1.806,2,1,0,3,6,78,5,Curveball,10,3,3,10,3,10,3,10,Standard,Standard,1
FF,2017-04-08,91.2,2.1532,5.4097,Andres Blanco,433217,424144,home_run,hit_into_play_score,NA,NA,NA,NA,2,Andres Blanco homers (1) on a fly ball to left center field.,R,R,L,PHI,WSH,X,NA,fly_ball,3,2,2017,1.1888,1.3637,-0.0715,3.0806,NA,NA,NA,0,7,Bot,24.45,66.42,NA,NA,446308,NA,170409_014518,-8.0804,-132.5268,-2.8128,15.6347,29.5807,-15.9184,3.676,1.504,392,102,31.682,90.576,2128,6.085,490177,424144,446308,452252,502517,543685,594694,502317,594809,547180,54.4135,0.743,1.408,2,1,0,3,6,65,7,4-Seam Fastball,14,3,14,3,3,14,14,3,Strategic,Standard,1
SL,2017-04-08,86.2,-0.9914,5.8793,Scott Schebler,594988,455009,home_run,hit_into_play_score,NA,NA,NA,NA,8,Scott Schebler homers (2) on a fly ball to right center field.    Tucker Barnhart scores.,R,L,R,STL,CIN,X,NA,fly_ball,3,2,2017,0.2297,0.1036,-0.1041,1.7503,NA,NA,571466,1,8,Top,200.43,48.93,NA,NA,518700,NA,170408_203718,1.6525,-125.6174,-3.9438,2.2094,21.0792,-30.5574,3.746,1.535,408,102.2,32.268,87.544,2210,6.621,490166,455009,518700,576397,543939,594824,649557,545341,451594,500874,53.8345,0.743,1.408,2,1,0,3,6,66,6,Slider,9,1,1,9,1,9,1,9,Standard,Standard,1
FF,2017-04-08,92.2,2.6951,5.4111,Yonder Alonso,475174,516714,home_run,hit_into_play_score,NA,NA,NA,NA,5,Yonder Alonso homers (1) on a fly ball to center field.   Jed Lowrie scores.,R,L,L,TEX,OAK,X,NA,fly_ball,0,0,2017,0.6071,1.2587,0.0425,2.1471,NA,476704,NA,2,8,Top,137.83,26.76,NA,NA,518960,NA,170409_023310,-8.1086,-133.8243,-5.2524,9.0684,27.4351,-15.9298,3.36,1.49,407,103.1,34.303,92.82,2461,6.675,490173,516714,518960,435063,596059,608336,462101,607387,460576,608577,53.8214,0.688,1.398,2,1,0,3,6,58,1,4-Seam Fastball,1,3,3,1,3,1,3,1,Standard,Standard,1
FF,2017-04-08,88.9,-1.7713,5.8969,Mike Trout,545361,519267,home_run,hit_into_play_score,NA,NA,NA,NA,4,Mike Trout homers (2) on a fly ball to center field.   Yunel Escobar scores.,R,R,R,LAA,SEA,X,NA,fly_ball,1,1,2017,-0.6435,1.4924,-0.4347,2.6104,NA,NA,488862,1,7,Bot,91.77,25.54,NA,NA,572287,NA,170409_044127,4.5934,-129.08690000000001,-5.0735,-8.1184,26.8869,-14.7295,3.842,1.589,417,105.8,24.656,88.607,2154,6.217,490175,519267,572287,502143,429664,572122,516416,502481,547982,571745,54.2798,0.981,1.896,2,1,0,3,6,58,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,1
FF,2017-04-08,92.5,0.9956,6.2076,Gerardo Parra,467827,477132,home_run,hit_into_play_score,NA,NA,NA,NA,5,Gerardo Parra homers (1) on a fly ball to center field.,R,L,L,COL,LAD,X,NA,fly_ball,1,1,2017,0.045,1.6104,-0.0502,2.5097,NA,NA,NA,1,6,Bot,115.58,13.98,NA,NA,518735,NA,170409_021412,-2.7566,-134.4318,-7.1406,1.0693,25.4002,-11.3924,3.41,1.6,436,100.8,32.29,92.764,2357,6.225,490169,477132,518735,408236,400284,457759,608369,475100,592808,624577,54.2753,0.677,1.355,2,1,0,3,6,48,3,4-Seam Fastball,3,1,3,1,1,3,3,1,Standard,Standard,1
SL,2017-04-08,85.3,-3.557,6.1888,Geovany Soto,434567,595234,home_run,hit_into_play_score,NA,NA,NA,NA,2,Geovany Soto homers (3) on a line drive to left center field.,R,R,R,CWS,MIN,X,NA,line_drive,0,0,2017,0.0437,0.3521,-0.276,2.985,NA,NA,NA,1,6,Bot,28.92,61.07,NA,NA,488771,NA,170408_201910,7.6442,-124.0606,-2.0182,-0.8906,21.8705,-28.3235,3.47,1.57,396,108.1,20.096,85.911,2308,6.439,490171,595234,488771,408045,572821,593934,593871,592696,621439,596146,54.0595,0.897,1.522,2,1,0,3,6,52,1,Slider,5,2,5,2,2,5,5,2,Standard,Standard,1
FF,2017-04-08,90,-3.4773,6.2959,Avisail Garcia,541645,595234,home_run,hit_into_play_score,NA,NA,NA,NA,4,Avisail Garcia homers (1) on a line drive to center field.   Todd Frazier scores.,R,R,R,CWS,MIN,X,NA,line_drive,1,1,2017,-0.8851,1.5277,-0.6243,2.4321,NA,NA,453943,1,6,Bot,148.04,11.23,NA,NA,488771,NA,170408_201825,9.0213,-130.5095,-6.8982,-12.1405,27.0918,-13.2104,3.56,1.78,442,107.3,26.211,90.511,1782,6.753,490171,595234,488771,408045,572821,593934,593871,592696,621439,596146,53.7462,0.979,1.967,2,1,0,3,6,51,3,4-Seam Fastball,3,2,3,2,2,3,3,2,Standard,Standard,1
