Rank,Title,Year,Rated,Runtime,Country,Metascore,imbdRating,imbdVotes
1,The Shawshank Redemption,1994,R,142 min,USA,80,9.3,1482665
2,The Godfather,1972,R,175 min,USA,100,9.2,1012669
3,The Godfather: Part II,1974,R,200 min,USA,80,9.1,682177
4,The Dark Knight,2008,PG-13,152 min,"USA, UK",82,9,1451699
5,Pulp Fiction,1994,R,154 min,USA,94,8.9,1147612
6,12 Angry Men,1957,NOT RATED,96 min,USA,N/A,8.9,379247
7,Schindler's List,1993,R,195 min,USA,93,8.9,748986
8,"The Good, the Bad and the Ugly",1966,NOT RATED,161 min,"Italy, Spain, West Germany, USA",90,8.9,441877
9,The Lord of the Rings: The Return of the King,2003,PG-13,201 min,"USA, New Zealand",94,8.9,1054274
10,Fight Club,1999,R,139 min,"USA, Germany",66,8.9,1156995
11,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"New Zealand, USA",92,8.8,1083304
12,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124 min,USA,79,8.8,690680
13,Forrest Gump,1994,PG-13,142 min,USA,82,8.8,1052562
14,Inception,2010,PG-13,148 min,"USA, UK",74,8.8,1255291
15,One Flew Over the Cuckoo's Nest,1975,R,133 min,USA,79,8.7,597446
16,The Lord of the Rings: The Two Towers,2002,PG-13,179 min,"USA, New Zealand",88,8.7,949358
17,Goodfellas,1990,R,146 min,USA,89,8.7,635263
18,The Matrix,1999,R,136 min,"USA, Australia",73,8.7,1051788
19,Star Wars: Episode IV - A New Hope,1977,PG,121 min,USA,92,8.7,755580
20,Seven Samurai,1954,UNRATED,207 min,Japan,99,8.7,204032
21,City of God,2002,R,130 min,"Brazil, France",79,8.7,470214
22,Se7en,1995,R,127 min,USA,65,8.7,882484
23,The Silence of the Lambs,1991,R,118 min,USA,84,8.6,754005
24,The Usual Suspects,1995,R,106 min,"USA, Germany",77,8.6,646774
25,It's a Wonderful Life,1946,APPROVED,130 min,USA,N/A,8.7,239444
26,Life Is Beautiful,1997,PG-13,116 min,Italy,59,8.6,352439
27,LÃ©on: The Professional,1994,R,110 min,France,64,8.6,625230
28,Once Upon a Time in the West,1968,PG-13,175 min,"Italy, USA, Spain",80,8.6,188414
29,Interstellar,2014,PG-13,169 min,"USA, UK, Canada",74,8.7,645963
30,Casablanca,1942,PG,102 min,USA,N/A,8.6,346883
31,Saving Private Ryan,1998,R,169 min,USA,90,8.6,754150
32,American History X,1998,R,119 min,USA,62,8.6,684446
33,Spirited Away,2001,PG,125 min,Japan,94,8.6,350754
34,City Lights,1931,PASSED,87 min,USA,N/A,8.6,90883
35,Raiders of the Lost Ark,1981,PG,115 min,USA,90,8.6,574968
36,Psycho,1960,R,109 min,USA,N/A,8.6,366385
37,Rear Window,1954,APPROVED,112 min,USA,N/A,8.6,276416
38,The Intouchables,2011,R,112 min,France,57,8.6,406147
39,Modern Times,1936,G,87 min,USA,96,8.6,119542
40,Whiplash,2014,R,107 min,USA,88,8.6,244998
41,Terminator 2: Judgment Day,1991,R,137 min,"USA, France",68,8.5,645385
42,The Green Mile,1999,R,189 min,USA,61,8.5,659969
43,The Pianist,2002,R,150 min,"France, Poland, Germany, UK",85,8.5,425349
44,Memento,2000,R,113 min,USA,80,8.5,738905
45,The Departed,2006,R,151 min,"USA, Hong Kong",86,8.5,751437
46,Gladiator,2000,R,155 min,"USA, UK",64,8.5,848149
47,Apocalypse Now,1979,R,153 min,USA,90,8.5,398844
48,Inside Out,2015,PG,94 min,USA,93,8.7,44496
49,Back to the Future,1985,PG,116 min,USA,86,8.5,617285
50,Sunset Blvd.,1950,NOT RATED,110 min,USA,N/A,8.5,122270
51,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,95 min,"USA, UK",96,8.5,306063
52,The Prestige,2006,PG-13,130 min,"USA, UK",66,8.5,721688
53,Alien,1979,R,117 min,"USA, UK",83,8.5,488832
54,The Lion King,1994,G,89 min,USA,83,8.5,537320
55,The Lives of Others,2006,R,137 min,Germany,89,8.5,226609
56,The Great Dictator,1940,APPROVED,125 min,USA,N/A,8.5,114503
57,Franco Cristaldi e il suo cinema Paradiso,2009,N/A,102 min,Italy,N/A,NA,NA
58,The Shining,1980,R,146 min,"USA, UK",61,8.5,525161
59,Django Unchained,2012,R,165 min,USA,81,8.5,789525
60,Paths of Glory,1957,APPROVED,88 min,USA,N/A,8.5,104588
61,The Dark Knight Rises,2012,PG-13,165 min,"USA, UK",78,8.5,975322
62,WALLÂ·E,2008,G,98 min,USA,94,8.4,606826
63,American Beauty,1999,R,122 min,USA,86,8.4,725204
64,Grave of the Fireflies,1988,UNRATED,89 min,Japan,N/A,8.5,113470
65,Aliens,1986,R,137 min,"USA, UK",87,8.4,429783
66,Citizen Kane,1941,APPROVED,119 min,USA,N/A,8.4,265719
67,North by Northwest,1959,APPROVED,136 min,USA,N/A,8.4,196612
68,Vertigo,1958,APPROVED,128 min,USA,N/A,8.4,215469
69,Oldboy,2003,R,120 min,South Korea,74,8.4,306698
70,Princess Mononoke,1997,PG-13,134 min,Japan,76,8.4,189143
71,Das Boot,1981,R,149 min,West Germany,86,8.4,149614
72,M,1931,NOT RATED,99 min,Germany,N/A,8.4,86828
73,Star Wars: Episode VI - Return of the Jedi,1983,PG,134 min,USA,52,8.4,548965
74,Liebe Amelie,2005,N/A,90 min,Germany,N/A,8.1,41
75,Once Upon a Time in America,1984,R,229 min,"Italy, USA",N/A,8.4,192901
76,Toy Story 3,2010,G,103 min,USA,92,8.4,457959
77,Reservoir Dogs,1992,R,99 min,USA,78,8.4,570039
78,Witness for the Prosecution,1957,APPROVED,116 min,USA,N/A,8.4,52419
79,Braveheart,1995,R,177 min,USA,N/A,8.4,640001
80,A Clockwork Orange,1971,X,136 min,"UK, USA",78,8.4,482335
81,Double Indemnity,1944,PASSED,107 min,USA,N/A,8.4,85019
82,Taxi Driver,1976,R,113 min,USA,93,8.4,438136
83,Requiem for a Dream,2000,R,102 min,USA,68,8.4,504316
84,To Kill a Mockingbird,1962,NOT RATED,129 min,USA,N/A,8.4,185967
85,Mad Max: Fury Road,2015,R,120 min,"Australia, USA",89,8.5,226488
86,Lawrence of Arabia,1962,PG,216 min,UK,100,8.4,167930
87,Eternal Sunshine of the Spotless Mind,2004,R,108 min,USA,89,8.4,581174
88,Full Metal Jacket,1987,R,116 min,"UK, USA",78,8.3,418728
89,The Sting,1973,PG,129 min,USA,N/A,8.4,153819
90,Bicycle Thieves,1948,NOT RATED,93 min,Italy,N/A,8.4,79924
91,Amadeus,1984,R,160 min,"USA, France",93,8.4,237635
92,Singin' in the Rain,1952,APPROVED,103 min,USA,N/A,8.4,131129
93,Monty Python and the Holy Grail,1975,PG,91 min,UK,90,8.3,339172
94,Snatch,2006,N/A,N/A,USA,N/A,NA,NA
95,2001: A Space Odyssey,1968,G,160 min,"USA, UK",86,8.3,367502
96,The Kid,1921,NOT RATED,68 min,USA,N/A,8.4,54695
97,For a Few Dollars More,1965,APPROVED,132 min,"Italy, Spain, West Germany",N/A,8.3,133326
98,Rashomon,1950,UNRATED,88 min,Japan,N/A,8.4,88581
99,L.A. Confidential,1997,R,138 min,USA,90,8.3,372533
100,All About Eve,1950,APPROVED,138 min,USA,N/A,8.4,73376
